What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
Other Europe,,25-29,11,Software Products,Student,Desktop Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Mobile,"Java, C#, C++, Nemerle",Windows 7,I enjoy going to work,,"nan, Other Smart Phone","$501-$1,000",Stack Overflow
United States of America,Arkansas,30-34,11,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,Influencer,"nan, Software","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, vb.net",Windows XP,I enjoy going to work,"$100,000 - $120,000",iPhone,$251-$500,Stack Overflow
Other Europe,,25-29,41310,Consulting,Start Up (1-25),Server Programmer,Unless it's stoopid it gets done,"nan, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",Enterprise,"Java, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Android, Blu-Ray, HDTV, iPad, Other gaming system",">$3,000",Stack Overflow
Other Europe,,30-34,41435,Software Products,Start Up (1-25),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software","nan, Don't know",Web Platform,"Java, SQL, C++, C, Objective C",Mac OS X,I enjoy going to work,"$60,000 - $80,000","nan, Android, iPad, Other netbook, Wii","$501-$1,000",Stack Overflow
Canada,,30-34,11,Gaming,"Fortune 1000 (1,000+)",Other,It's been known to happen,"Influencer, Recommender, No Involvement","nan, Software","<$10,000",Mobile,"nan, SQL, C#, C++",Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, Xbox, Other gaming system","$1,001-$2,000",Stack Overflow
Other Europe,,25-29,41310,Web Services,Start Up (1-25),IT Manager,Unless it's stoopid it gets done,"nan, Recommender",Hardware,"<$10,000",Web Platform,"nan, Python",Linux,So happy it hurts,"<$20,000","iPhone, Android",<$100,Stack Overflow
United States of America,Colorado,40-50,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $41,000 - $75,000",SaaS,"nan, JavaScript, CSS, PHP, SQL, C#",Windows 7,It pays the bills,">$140,000","iPhone, Kindle, Blu-Ray, HDTV, iPad, PS3, Xbox",">$3,000",Stack Overflow
France,,20-24,<2,Other,Student,Student,,"nan, No Involvement",nan,nan,Other,"Java, Python, Tcl",Linux,So happy it hurts,Student / Unemployed,"nan, Regular Mobile Phone",<$100,Other
Germany,,25-29,41435,Consulting,Mature Small Business (25-100),Embedded Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"Java, JavaScript, CSS, SQL, Objective-C",Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV","$501-$1,000",Stack Overflow
Canada,,35-39,41310,Other,Start Up (1-25),Web Application Developer,Not in a million years,"nan, No Involvement",nan,nan,Web Platform,"nan, CSS, PHP, SQL",Windows Vista,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone",<$100,Stack Overflow
United States of America,Virginia,30-34,11,Consulting,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"Java, JavaScript, CSS, PHP, SQL",Mac OS X,It pays the bills,"$120,000 - $140,000","iPhone, HDTV, AppleTV, Wii","$1,001-$2,000",Stack Overflow
United States of America,Pennsylvania,30-34,11,Consulting,Mature Small Business (25-100),Other,It's been known to happen,"Influencer, Recommender, I'm a Seller","nan, Software","<$10,000",SaaS,"Java, Python, SQL, C#",Windows XP,It pays the bills,"$100,000 - $120,000","nan, Blackberry, Other Smart Phone, Kindle, HDTV, Wii, Other gaming system",$100-$250,Other
Canada,,25-29,41310,Software Products,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,Influencer,"nan, Software","<$10,000",Enterprise,"nan, C#, C++, C",Windows XP,It pays the bills,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV, Wii",$251-$500,Stack Overflow
United States of America,Pennsylvania,25-29,41435,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"Java, JavaScript, C#",Windows 7,It pays the bills,"$80,000 - $100,000","nan, Xbox, Wii",<$100,Programmers Stack Exchange
United States of America,Texas,25-29,41435,Software Products,Mid Sized (100-999),Server Programmer,Once in a blue moon,Influencer,"nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#, C++",Windows XP,It pays the bills,"$60,000 - $80,000","nan, Other Smart Phone, Kindle, Blu-Ray, HDTV, Other netbook, Wii",">$3,000",Stack Overflow
United States of America,Wyoming,25-29,11,Other,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,Influencer,"nan, Software","nan, $25,001 - $40,000",Enterprise,"Java, SQL, C#, C++",Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android, Kindle, Blu-Ray, HDTV, Other netbook, Wii",$251-$500,Stack Overflow
Australasia,,35-39,41435,Retail,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,,"nan, Regular Mobile Phone","$2,001-$3,000",Stack Overflow
Other Europe,,25-29,41310,Consulting,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"Java, JavaScript, CSS, Python, SQL, Perl, Haskell",Linux,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone",<$100,Stack Overflow
United States of America,Illinois,25-29,41310,Manufacturing,Mature Small Business (25-100),Embedded Application Developer,Unless it's stoopid it gets done,"nan, Recommender, No Involvement","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"nan, C#, C",Windows 7,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone, PS3, Other gaming system","$1,001-$2,000",Stack Overflow
United States of America,Michigan,30-34,41310,Other,"Fortune 1000 (1,000+)",Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"Java, CSS, PHP",Windows XP,It pays the bills,"$20,000 - $40,000","nan, Regular Mobile Phone, PS3, Xbox, Wii",$251-$500,Stack Overflow
United States of America,Texas,25-29,41435,Software Products,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, >$150,000",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,I'm not happy in my job,"$60,000 - $80,000","nan, Regular Mobile Phone",$100-$250,Stack Overflow
Other Europe,,20-24,41310,Other,Student,Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, SQL",Windows 7,I enjoy going to work,Student / Unemployed,"nan, Android, Wii, Other gaming system",$251-$500,Stack Overflow
United States of America,Arizona,30-34,11,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, CSS, SQL, C#",Windows 7,So happy it hurts,"$100,000 - $120,000","iPhone, Blackberry, Blu-Ray, HDTV, PS3","$501-$1,000",Stack Overflow
Other Europe,,25-29,41435,Software Products,Start Up (1-25),Server Programmer,I run this place,"nan, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",Enterprise,"nan, JavaScript, SQL, C#",Windows 7,So happy it hurts,"$60,000 - $80,000","nan, Android, Kindle",<$100,Stack Overflow
South America,,20-24,41310,Consulting,Mature Small Business (25-100),Database Administrator,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,"nan, JavaScript, SQL, C#",Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone",$251-$500,Stack Overflow
Australia,,,,,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Texas,30-34,41310,Healthcare,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows XP,I enjoy going to work,"$80,000 - $100,000","iPhone, HDTV, PS3, Xbox, Wii","$2,001-$3,000",Stack Overflow
India,,35-39,11,Software Products,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $75,001 - $100,000",Other,"Java, C++, Perl",Linux,I enjoy going to work,"$60,000 - $80,000","nan, Android, Blu-Ray, HDTV, PS3","$2,001-$3,000",Stack Overflow
Other Europe,,25-29,41435,Software Products,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, $10,001 - $25,000",Enterprise,"nan, JavaScript, CSS, PHP, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, Regular Mobile Phone, Other netbook, Xbox","$501-$1,000",Stack Overflow
United States of America,Nevada,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",Web Platform,"nan, JavaScript, CSS, PHP, Ruby, SQL, C++, C",Linux,So happy it hurts,"$60,000 - $80,000","nan, Android, Kindle",">$3,000",Stack Overflow
United States of America,Texas,25-29,41310,Retail,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, SQL, C#",Windows 7,I enjoy going to work,,nan,,Stack Overflow
United States of America,Maine,30-34,11,Software Products,Mid Sized (100-999),Systems Analyst,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, HDTV, Xbox","$1,001-$2,000",Stack Overflow
Canada,,20-24,41310,Finance / Banking,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,"Java, JavaScript, SQL, C",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android","$1,001-$2,000",Stack Overflow
Other Europe,,25-29,41310,Consulting,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,"Java, Python, SQL, C#, Perl",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Regular Mobile Phone",$100-$250,Stack Overflow
Netherlands,,30-34,11,Finance / Banking,Mature Small Business (25-100),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software","nan, Don't know",Enterprise,"Java, JavaScript, CSS, Python, C++, C, SAS",Linux,So happy it hurts,"$100,000 - $120,000","nan, Other Smart Phone, Regular Mobile Phone, HDTV","$1,001-$2,000",Stack Overflow
United States of America,Arizona,30-34,41435,Other,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","<$10,000",Web Platform,"nan, JavaScript, C#",Windows 7,It pays the bills,"$40,000 - $60,000","iPhone, Other netbook",$100-$250,Stack Overflow
United States of America,Iowa,25-29,41435,Manufacturing,Mid Sized (100-999),Systems Analyst,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"nan, SQL, C#",Windows XP,I enjoy going to work,"$20,000 - $40,000","nan, Android, Kindle, HDTV, Other netbook, Other gaming system","$501-$1,000",Stack Overflow
United States of America,New York,20-24,41435,Finance / Banking,Mid Sized (100-999),Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"Java, JavaScript, CSS, SQL, C#, C++, C",Windows XP,I enjoy going to work,"$40,000 - $60,000",nan,"$501-$1,000",Programmers Stack Exchange
United States of America,Pennsylvania,20-24,41310,Other,Student,Student,Once in a blue moon,"nan, No Involvement",nan,nan,Other,"nan, CSS, PHP, Python, SQL, C#",Linux,So happy it hurts,,"nan, Regular Mobile Phone, Blu-Ray",$251-$500,Stack Overflow
France,,25-29,41310,Retail,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, Python, C#, Objective C",Mac OS X,I'm not happy in my job,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV, Wii, Other gaming system","$2,001-$3,000",Super User
United Kingdom,,30-34,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"nan, C#, C++",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android","$1,001-$2,000",Stack Overflow
United States of America,Pennsylvania,35-39,11,Other,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $75,001 - $100,000",Other,"Java, CSS, SQL, C++, C, Perl, Common Lisp, Clojure, Scala, LaTeX",Mac OS X,So happy it hurts,"$100,000 - $120,000","nan, Other Smart Phone, HDTV","$1,001-$2,000",Stack Overflow
Canada,,30-34,41435,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#, C++",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, HDTV, AppleTV, Wii","$501-$1,000",Stack Overflow
Australasia,,35-39,11,Education,Mid Sized (100-999),IT Manager,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Check Writer","nan, Software, Consultants","nan, >$150,000",Web Platform,"nan, SQL, C++, C",Windows XP,It pays the bills,"$120,000 - $140,000","nan, Blackberry, Wii",$100-$250,Super User
United States of America,Illinois,40-50,41435,Education,,,,nan,nan,nan,,nan,,,,nan,,
Italy,,30-34,11,Other,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"Java, Python",Linux,I enjoy going to work,"$20,000 - $40,000","nan, Other Smart Phone",,Stack Overflow
United States of America,Washington,20-24,41435,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, CSS, SQL, C#, VB.NET",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, Xbox","$2,001-$3,000",Stack Overflow
United States of America,California,30-34,11,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,I run this place,"nan, Approver","Hardware, Servers, Software","nan, $10,001 - $25,000",Web Platform,"nan, JavaScript, SQL, C#",Windows 7,I enjoy going to work,"$100,000 - $120,000",iPhone,$100-$250,Stack Overflow
United States of America,Michigan,30-34,11,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"Java, PHP, SQL, C#, C",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, PS3, Wii","$1,001-$2,000",Stack Overflow
Other Asia,,20-24,41435,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Check Writer","nan, Consultants","<$10,000",Enterprise,"Java, JavaScript, CSS, PHP, Python, SQL, C++, C",Mac OS X,So happy it hurts,"$20,000 - $40,000","iPhone, Android, Regular Mobile Phone, HDTV, iPad",">$3,000",Stack Overflow
Other Europe,,30-34,11,Software Products,"Fortune 1000 (1,000+)",Server Programmer,Unless it's stoopid it gets done,Influencer,"nan, Software, Consultants","nan, Don't know",Enterprise,"Java, JavaScript, CSS, PHP, Python, xslt",Mac OS X,I enjoy going to work,"$40,000 - $60,000","nan, Other Smart Phone",$100-$250,Stack Overflow
